year,league,division,team,wins,losses,winning_percentage,games_back
1950,National League,League,Chicago Cubs,64,89,0.41830065359477125,26½
1950,National League,League,Pittsburgh Pirates,57,96,0.37254901960784315,33½
1951,National League,League,Boston Braves,76,78,0.4935064935064935,20½
1951,National League,League,Cincinnati Reds,68,86,0.44155844155844154,28½
1951,National League,League,Pittsburgh Pirates,64,90,0.4155844155844156,32½
1951,National League,League,Chicago Cubs,62,92,0.4025974025974026,34½
1952,National League,League,Chicago Cubs,77,77,0.5,19½
1952,National League,League,Cincinnati Reds,69,85,0.44805194805194803,27½
1952,National League,League,Boston Braves,64,89,0.41830065359477125,.418
1952,National League,League,Pittsburgh Pirates,42,112,0.2727272727272727,54½
1953,National League,League,Chicago Cubs,65,89,0.42207792207792205,.422
1953,National League,League,Pittsburgh Pirates,50,104,0.3246753246753247,.325
1954,National League,League,Chicago Cubs,64,90,0.4155844155844156,.416
1954,National League,League,Pittsburgh Pirates,53,101,0.34415584415584416,.344
1955,National League,League,Chicago Cubs,72,81,0.47058823529411764,.471
1955,National League,League,Pittsburgh Pirates,60,94,0.38961038961038963,38½
1956,National League,League,Pittsburgh Pirates,66,88,0.42857142857142855,.429
1956,National League,League,Chicago Cubs,60,94,0.38961038961038963,.390
1957,National League,League,Pittsburgh Pirates,62,92,0.4025974025974026,.403
1957,National League,League,Chicago Cubs,62,92,0.4025974025974026,.403
1958,National League,League,Pittsburgh Pirates,84,70,0.5454545454545454,.545
1958,National League,League,San Francisco Giants,80,74,0.5194805194805194,.519
1958,National League,League,Chicago Cubs,72,82,0.4675324675324675,.468
1959,National League,League,San Francisco Giants,83,71,0.538961038961039,.539
1959,National League,League,Pittsburgh Pirates,78,76,0.5064935064935064,.506
1959,National League,League,Chicago Cubs,74,80,0.4805194805194805,.481
1959,National League,League,Cincinnati Reds,74,80,0.4805194805194805,.481
1960,National League,League,Pittsburgh Pirates,95,59,0.6168831168831169,.617
1960,National League,League,San Francisco Giants,79,75,0.512987012987013,.513
1960,National League,League,Cincinnati Reds,67,87,0.43506493506493504,.435
1960,National League,League,Chicago Cubs,60,94,0.38961038961038963,.390
1961,National League,League,Cincinnati Reds,93,61,0.6038961038961039,.604
1961,National League,League,San Francisco Giants,85,69,0.551948051948052,.552
1961,National League,League,Pittsburgh Pirates,75,79,0.487012987012987,.487
1961,National League,League,Chicago Cubs,64,90,0.4155844155844156,.416
1962,National League,League,San Francisco Giants,103,62,0.6242424242424243,.624
1962,National League,League,Cincinnati Reds,98,64,0.6049382716049383,3½
1962,National League,League,Pittsburgh Pirates,93,68,0.577639751552795,.578
1962,National League,League,Chicago Cubs,59,103,0.36419753086419754,42½
1963,National League,League,San Francisco Giants,88,74,0.5432098765432098,.543
1963,National League,League,Cincinnati Reds,86,76,0.5308641975308642,.531
1963,National League,League,Chicago Cubs,82,80,0.5061728395061729,.506
1963,National League,League,Pittsburgh Pirates,74,88,0.4567901234567901,.457
1964,National League,League,Cincinnati Reds,92,70,0.5679012345679012,.568
