year,league,division,team,w,l,wp,gb
2023,National,East,Washington Nationals,71,91,.438,33.0
2023,National,West,Los Angeles Dodgers,100,62,.617,-
2023,National,West,Arizona Diamondbacks,84,78,.519,16.0
2023,National,West,San Diego Padres,82,80,.506,18.0
2023,National,West,San Francisco Giants,79,83,.488,21.0
2023,National,West,Colorado Rockies,59,103,.364,41.0
2024,National,Central,Milwaukee Brewers,93,69,.574,-
2024,National,Central,Chicago Cubs,83,79,.512,10.0
2024,National,Central,St. Louis Cardinals,83,79,.512,10.0
2024,National,Central,Cincinnati Reds,77,85,.475,16.0
2024,National,Central,Pittsburgh Pirates,76,86,.469,17.0
2024,National,East,Philadelphia Phillies,95,67,.586,-
2024,National,East,Atlanta Braves,89,73,.549,6.0
2024,National,East,New York Mets,89,73,.549,6.0
2024,National,East,Washington Nationals,71,91,.438,24.0
2024,National,East,Miami Marlins,62,100,.383,33.0
2024,National,West,Los Angeles Dodgers,98,64,.605,-
2024,National,West,San Diego Padres,93,69,.574,5.0
2024,National,West,Arizona Diamondbacks,89,73,.549,9.0
2024,National,West,San Francisco Giants,80,82,.494,18.0
2024,National,West,Colorado Rockies,61,101,.377,37.0
